country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Viet Nam,Lao Cai,25,1,1,1,25,1,0,1,15,1,22.4997452,103.9656924
Philippines,Laoag,28,1,0,1,28,1,0,1,26,1,18.1973235,120.5935433
Mexico,Laredo,119,3,2,1,20,1,2,1,119,3,19.8498272,-101.6322926
Germany,Leonberg,52,2,1,1,33,1,6,1,52,2,48.8012983,9.0150026
France,Les Pavillons Sous Bois,68,2,1,1,21,1,5,1,68,2,48.9082988,2.5034999
Italy,Leverano,58,2,1,1,58,2,1,1,49,1,40.2894249,17.9994144
India,Narwar,162,4,3,1,90,2,2,1,162,4,25.6433256,77.9117307
Russia,Nevyansk,41,1,1,1,41,1,1,1,21,1,57.4924036,60.2105408
United States of America,New Philadelphia,44,1,1,1,38,1,2,1,44,1,40.4897871,-81.4456706
New Zealand,New Plymouth,58,2,0,1,30,1,0,1,58,2,-39.0579941,174.0806474
India,Neyyattinkara,89,2,2,1,19,1,4,1,89,2,8.4128676,77.08638527726816
Indonesia,Nganjuk,172,4,6,1,6,1,19,1,172,4,-7.6023595,111.9010553
Germany,Nidda,58,2,1,1,53,2,0,1,58,2,50.4267,9.0286
Japan,Nihommatsu,65,2,1,1,18,1,12,1,65,2,37.5850396,140.4313889
United States of America,North Berwick,32,1,1,1,32,1,1,1,31,1,43.3063254,-70.7343581
Burkina Faso,Nouna,69,2,1,1,29,1,0,1,69,2,12.7356266,-3.8229735
Brazil,Nova Prata,24,1,0,1,18,1,0,1,24,1,-28.7849383,-51.6091999
Russia,Novokuznetsk,46,1,1,1,21,1,13,1,46,1,53.7575903,87.1358494
,Nuevitas,62,2,1,1,28,1,0,1,62,2,21.5465376,-77.2635014
Japan,Obihiro,47,1,1,1,21,1,4,1,47,1,42.923809,143.1966324
Germany,Oerlinghausen,48,1,1,1,43,1,0,1,48,1,51.9604088,8.6638732
United States of America,Oil City,54,2,1,1,36,1,1,1,54,2,41.433948,-79.706441
Netherlands,Oisterwijk,42,1,1,1,40,1,1,1,42,1,51.56610775,5.198644959051684
Germany,Erlensee,59,2,1,1,59,2,0,1,58,2,50.1624394,8.9846455
United States of America,Escondido,64,2,2,1,15,1,14,1,64,2,33.1216751,-117.0814849
Mexico,Ezequiel Montes,40,1,1,1,28,1,0,1,40,1,20.6658195,-99.8979199
United States of America,Fair Oaks,50,1,1,1,28,1,6,1,50,1,43.4173411,-123.2134056
United States of America,Fairview Shores,96,2,1,1,96,2,1,1,21,1,28.5911114,-81.3942365
India,Faridpur,157,4,4,1,26,1,10,1,157,4,28.2083265,79.5375964
Brazil,Franco Da Rocha,97,2,2,1,31,1,3,1,97,2,-23.3328038,-46.724446
United States of America,Freeport,43,1,1,1,40,1,1,1,43,1,40.6576071,-73.5835826
China,Fujin,101,3,3,1,27,1,5,1,101,3,24.8868,10.9456000
Japan,Fukagawa,56,2,1,1,29,1,4,1,56,2,43.7234297,142.0540685
Brazil,Fundao,54,2,1,1,27,1,0,1,54,2,-19.9332174,-40.4049674
China,Fushan,81,2,3,1,81,2,5,1,63,2,35.9740395,111.8456198
Germany,Gardelegen,45,1,1,1,45,1,0,1,26,1,52.5266697,11.3929784
Israel,Gedera,75,2,1,1,46,1,5,1,75,2,31.8117747,34.7803882
Spain,Getafe,42,1,1,1,42,1,0,1,10,1,40.3081807,-3.7302679
Italy,Gioia Del Colle,62,2,1,1,52,2,0,1,62,2,40.796728,16.92359
United States of America,Dallas,70,2,2,1,34,1,5,1,70,2,32.7762719,-96.7968559
Iran (Islamic Republic of),Damavand,134,3,1,1,40,1,6,1,134,3,32.478144,51.397788
Turkmenistan,Dasoguz,67,2,1,1,32,1,4,1,67,2,41.83358,59.9590079
